1,01,北海道,ホッカイドウ,HOKKAIDO,
2,02,青森県,アオモリケン,AOMORI KEN,
3,03,岩手県,イワテケン,IWATE KEN,
4,04,宮城県,ミヤギケン,MIYAGI KEN,
5,05,秋田県,アキタケン,AKITA KEN,
6,06,山形県,ヤマガタケン,YAMAGATA KEN,
7,07,福島県,フクシマケン,FUKUSHIMA KEN,
8,08,茨城県,イバラキケン,IBARAKI KEN,
9,09,栃木県,トチギケン,TOCHIGI KEN,
10,10,群馬県,グンマケン,GUMMA KEN,
11,11,埼玉県,サイタマケン,SAITAMA KEN,
12,12,千葉県,チバケン,CHIBA KEN,
13,13,東京都,トウキョウト,TOKYO TO,
14,14,神奈川県,カナガワケン,KANAGAWA KEN,
15,15,新潟県,ニイガタケン,NIIGATA KEN,
16,16,富山県,トヤマケン,TOYAMA KEN,
17,17,石川県,イシカワケン,ISHIKAWA KEN,
18,18,福井県,フクイケン,FUKUI KEN,
19,19,山梨県,ヤマナシケン,YAMANASHI KEN,
20,20,長野県,ナガノケン,NAGANO KEN,
21,21,岐阜県,ギフケン,GIFU KEN,
22,22,静岡県,シズオカケン,SHIZUOKA KEN,
23,23,愛知県,アイチケン,AICHI KEN,
24,24,三重県,ミエケン,MIE KEN,
25,25,滋賀県,シガケン,SHIGA KEN,
26,26,京都府,キョウトフ,KYOTO FU,
27,27,大阪府,オオサカフ,OSAKA FU,
28,28,兵庫県,ヒョウゴケン,HYOGO KEN,
29,29,奈良県,ナラケン,NARA KEN,
30,30,和歌山県,ワカヤマケン,WAKAYAMA KEN,
31,31,鳥取県,トットリケン,TOTTORI KEN,
32,32,島根県,シマネケン,SHIMANE KEN,
33,33,岡山県,オカヤマケン,OKAYAMA KEN,
34,34,広島県,ヒロシマケン,HIROSHIMA KEN,
35,35,山口県,ヤマグチケン,YAMAGUCHI KEN,
36,36,徳島県,トクシマケン,TOKUSHIMA KEN,
37,37,香川県,カガワケン,KAGAWA KEN,
38,38,愛媛県,エヒメケン,EHIME KEN,
39,39,高知県,コウチケン,KOCHI KEN,
40,40,福岡県,フクオカケン,FUKUOKA KEN,
41,41,佐賀県,サガケン,SAGA KEN,
42,42,長崎県,ナガサキケン,NAGASAKI KEN,
43,43,熊本県,クマモトケン,KUMAMOTO KEN,
44,44,大分県,オオイタケン,OITA KEN,
45,45,宮崎県,ミヤザキケン,MIYAZAKI KEN,
46,46,鹿児島県,カゴシマケン,KAGOSHIMA KEN,
47,47,沖縄県,オキナワケン,OKINAWA KEN,